Reduced run: 15000 consumers, 600 merchants, 520 scenarios (13 families x 40)
=== Generating Stage 5 training dataset ===
Checking if baseline Stage 2 exists and matches settings at /home/sharkyi/Desktop/Chakravyuh/data/generated/stage5/baseline/stage2...
Using existing Stage 2 baseline.
Adaptive attack config derived from prior model: {'adaptive_volume_splitting': True, 'beneficiary_age_floor_s': 50578560, 'adaptive_sleeper': True}
Layering attack: scam_induced_push (seed=101000, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101001, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101002, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101003, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101004, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101005, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101006, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101007, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101008, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101009, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101010, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101011, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101012, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101013, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101014, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101015, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101016, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101017, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101018, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101019, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101020, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101021, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101022, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101023, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101024, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101025, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101026, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101027, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101028, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101029, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101030, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101031, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101032, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101033, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101034, intensity=MEDIUM)...
Layering attack: scam_induced_push (seed=101035, intensity=MEDIUM)...
