type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,step,category,gender,age,ProductCD,card4,card6,DeviceType,TransactionAmt,C1,C2,C13,C14,D1,D2,D4,D10,D15,dist1
,,,,,,,,,,W,visa,debit,missing,59.0,24.098183824307853,119.0,522.7933983869152,119.0,427.0,398.32235406397376,555.6121004331981,578.1640865526051,610.0,33.53729385452789
,,,,,,,,,,W,mastercard,credit,missing,554.0,2.0,3.0,1.0,1.0,157.0,177.91697432412786,447.0,132.0,447.8909869007473,0.0
,,,,,,,,,,W,visa,credit,missing,226.0,3.0,3.0,4.0,2.0,0.0,1.0,19.0,4.0,302.0,10.0
,,,,,,,,,,W,mastercard,debit,missing,445.0,1.0,1.0,1.0,1.0,0.0,18.0,0.0,0.0,68.0,2.0
,255.73971872623892,,,,,63.21192213840664,es_wellnessandbeauty,F,0.0,,,,,,,,,,,,,,,
,358.02484718037374,,,,,100.0,es_leisure,M,2.0,,,,,,,,,,,,,,,
CASH_IN,49911.52783712557,2914362.3698638743,4222253.964368369,2051836.9831777727,1420900.5421505012,179.78865323543482,,,,,,,,,,,,,,,,,,
,,,,,,,,,,C,mastercard,credit,desktop,92.464,7.0,262.549607645709,1.0,1.0,0.0,16.0,1.0,0.0,58.0,10.0
,1888.0192670761044,,,,,4.449117604775388,es_travel,F,4.0,,,,,,,,,,,,,,,
CASH_OUT,1074927.6095294685,5598009.459464232,1582791.619328105,3783697.1363236,26879513.71489565,172.8418624448198,,,,,,,,,,,,,,,,,,
,,,,,,,,,,H,visa,credit,mobile,150.0,4.0,5.107835984286027,1.0,1.0,0.0,16.0,1.0,0.0,1.0,10.0
,835.976642081948,,,,,46.28452162528828,es_sportsandtoys,F,4.0,,,,,,,,,,,,,,,
,,,,,,,,,,C,mastercard,credit,desktop,18.12358114242264,1.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,10.0
,,,,,,,,,,C,visa,credit,desktop,7.974547915959648,5.0,37.0,17.0,3.0,158.76716899829603,16.0,142.12025859756568,0.0,1.0,10.0
,,,,,,,,,,H,american express,debit,mobile,92.443,2.0,2.0,8.0,1.0,6.0,16.0,63.0,1.0,1.0,10.0
CASH_IN,413549.74224522006,6.869966672034679,65361.694574646055,4761808.659711456,2243584.136841454,148.0448439725442,,,,,,,,,,,,,,,,,,
,,,,,,,,,,W,visa,debit,missing,144.44656798741352,1.0,1.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,907.0033355080903
,,,,,,,,,,H,visa,debit,desktop,50.0,2.0,1.0,1.0,1.0,0.0,16.0,1.0,0.0,1.0,10.0
